"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"

"GD11","Agregar cuenta de efectivo","Agregar","","/!/efectivo/cuentas/_new/","0","efectivo.cuentas","DET019","0","action"
"GD12","Editar cuenta de efectivo","Editar","","/!/efectivo/cuentas/@_src_context_item_id/","0","efectivo.cuentas","DET019","1","action"
"GD13","Eliminar cuenta de efectivo","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","efectivo.cuentas","DET019","1","action"
"GD14","Depósito","Depósito","","/!/efectivo/movcuenta/_new/deposito/?icuenta=@_src_context_item_id","0","efectivo.cuentas","DET019","0","action"
"GD15","Retiro","Retiro","","/!/efectivo/movcuenta/_new/retiro/?icuenta=@_src_context_item_id","0","efectivo.cuentas","DET019","0","action"
"GD16","Transferencia","Transferencia","","/!/efectivo/movcuenta/_new/traspaso/?icuenta=@_src_context_item_id","0","efectivo.cuentas","DET019","0","action"
"GD17","Estado de cuenta","Estado de cuenta","","/!/efectivo/movcuenta/@_src_context_item_id/movimientos/","0","efectivo.cuentas","DET019","1","action"
"GD20","Confirmar movimiento","Confirmar","","/efectivo/_services/mov_cuenta/","0","efectivo.cuentas","DET079","0","action"
"GD21","Conciliar movimiento","Conciliar","","/efectivo/_services/mov_cuenta/","0","efectivo.cuentas","DET079","0","action"
"GD22","Auditar movimiento","Auditar","","/efectivo/_services/mov_cuenta/","0","efectivo.cuentas","DET079","0","action"
"GD23","Cancelar movimiento","Cancelar","","/efectivo/_services/mov_cuenta/","0","efectivo.cuentas","DET079","0","action"